Period,ave_train_time,ave_platform_time
18-Jan,1.33,1.34
18-Feb,1.18,1.21
18-Mar,1.08,1.22
18-Apr,1.06,1.15
18-May,1.02,1.13
18-Jun,1,1.1
18-Jul,1.03,1.11
18-Aug,0.59,1.16
18-Sep,1.01,1.14
18-Oct,1.01,1.16
18-Nov,1.03,1.18
18-Dec,0.56,1.17
19-Jan,0.45,1.1
19-Feb,0.53,1.12
19-Mar,0.47,1.08
19-Apr,0.44,1.09
19-May,0.45,1.08
19-Jun,0.41,1.08
19-Jul,0.42,1.25
19-Aug,0.36,1.09
19-Sep,0.4,1.03
19-Oct,0.44,1.11
19-Nov,0.42,1.1
19-Dec,0.42,1.12
20-Jan,0.39,1.16
20-Feb,0.36,1.09
20-Mar,0.26,1.09
20-Apr,-0.31,1.06
20-May,-0.29,0.4
20-Jun,-0.08,1.04
20-Jul,0.01,1.1
20-Aug,0.03,1.2
20-Sep,-0.03,1.08
20-Oct,-0.02,1.06
20-Nov,-0.03,1.08
20-Dec,0.03,1.12
21-Jan,0.03,1.08
21-Feb,0.16,1.38
21-Mar,-0.04,1.11
21-Apr,-0.01,1.1
21-May,0.09,1.18
21-Jun,0.12,1.27
21-Jul,0.12,1.31
21-Aug,0.09,1.3
21-Sep,0.22,1.4
21-Oct,0.16,1.27
21-Nov,0.19,1.28
21-Dec,0.17,1.31
22-Jan,0.19,1.18
22-Feb,0.26,1.19